ds,yhat,yhat_lower,yhat_upper
2025-01-01,47.45775655,42.83561194474281,52.090703943579946
2025-01-02,24.976828635000004,20.362411994610166,29.185846568257876
2025-01-03,2.495900719435602,-2.5160149387229964,7.1836188788992335
2025-01-04,-19.985027196128794,-24.579169186756406,-15.53662657535674
2025-01-05,-42.4659551116932,-47.22312203241299,-38.017821946822046
2025-01-06,-64.94688302725761,-69.63218715524071,-60.34641160163872
2025-01-07,-87.42781094282199,-92.08559300687178,-83.05986973419995
2025-01-08,-109.9087388583864,-114.31536716539696,-105.19222513473689
2025-01-09,-132.3896667739508,-137.1654190327525,-128.16343247275353
2025-01-10,-154.8705946895152,-159.13884590057086,-150.2733164476913
2025-01-11,-177.35152260507962,-182.07342536957034,-172.9558981919916
2025-01-12,-199.83245052064402,-203.99689918337572,-195.2608183130989
2025-01-13,-222.31337843620838,-226.7074970623179,-217.8307176838474
2025-01-14,-244.79430635177278,-249.28846940378605,-240.14278662613407
2025-01-15,-267.27523426733717,-271.86519862818034,-262.9114106821529
2025-01-16,-289.75616218290156,-294.0783990640975,-285.489169718613
2025-01-17,-312.237090098466,-316.59879193123714,-307.8551375421963
2025-01-18,-334.7180180140304,-339.4324652672992,-330.5442747075956
2025-01-19,-357.1989459295948,-361.65450820410445,-352.98819666278354
2025-01-20,-379.6798738451592,-384.17349150480646,-375.10892899463926
2025-01-21,-402.16080176072364,-406.9013462756513,-397.58865733208927
2025-01-22,-424.6417296762881,-429.300210985356,-420.32918070012306
2025-01-23,-447.1226575918525,-451.3975760717318,-442.3995039296225
2025-01-24,-469.6035855074169,-474.11705636561834,-465.0124720310128
2025-01-25,-492.0845134229812,-496.9104085916797,-487.80492468394834
2025-01-26,-514.5654413385456,-519.234633897926,-510.1090378160494
2025-01-27,-537.04636925411,-541.2560213195032,-532.0776984030025
2025-01-28,-559.5272971696744,-563.6252698883113,-554.7962620964037
2025-01-29,-582.0082250852388,-586.6697482331224,-577.4825394678576
2025-01-30,-604.4891530008032,-608.9475907133003,-599.9763150593541
2025-01-31,-626.9700809163677,-631.43290199541,-622.4691467641861
2025-02-01,-649.4510088319321,-653.90486115183,-644.9638996671015
2025-02-02,-671.9319367474965,-676.5631838006684,-667.6860843442441
